编号,类型,发起时间,初始化时间,首帧时间,初始化耗时ms,TTFF耗时ms
1,首屏加载,12:03:59.775,,12:04:00.116,17.600,341.200
2,auto_reconnect_1,12:04:01.614,,12:04:01.951,24.900,337.400
3,auto_reconnect_2,12:04:04.643,,12:04:04.987,23.600,344.500
4,auto_reconnect_3,12:04:07.669,,12:04:08.009,25.600,339.400
5,auto_reconnect_4,12:04:10.698,,12:04:11.035,22.400,337.200
6,auto_reconnect_5,12:04:13.726,,12:04:14.057,23.200,331.500
7,auto_reconnect_6,12:04:16.756,,12:04:17.088,20.600,331.600
8,auto_reconnect_7,12:04:19.781,,12:04:20.111,21.000,330.200
9,auto_reconnect_8,12:04:22.804,,12:04:23.136,19.900,331.500
10,auto_reconnect_9,12:04:25.829,,12:04:26.160,21.700,330.500
11,auto_reconnect_10,12:04:28.853,,12:04:29.194,21.300,340.600
